# night,n_img_proc,n_img_raw,size_img_proc,size_conf_proc,size_cat_proc,size_img_raw
20111119,21,60,1629005.62,677109.38,133973.44,4443592.50
20111120,42,114,3730294.69,1305736.88,265446.56,10193397.19
20111121,63,174,5375770.31,1976211.56,404173.12,14682749.06
20111122,70,186,6036539.06,2223641.25,466956.56,15776870.62
20111123,49,138,4260780.00,1530804.38,309979.69,11943562.50
20111124,49,132,3982395.94,1590921.56,302470.31,10210533.75
20111125,42,120,3332539.69,1350514.69,277695.00,9098178.75
20111127,21,54,2032835.62,632497.50,140723.44,5517511.88
20111128,49,126,4287785.62,1533892.50,316091.25,11083657.50
20111129,21,54,2003532.19,628368.75,108303.75,5471353.12
20111202,63,174,5446406.25,2067547.50,388080.00,14881730.62
20111203,21,60,1699979.06,697367.81,122414.06,4651138.12
20111206,21,54,2083277.81,672021.56,171576.56,5655659.06
20111208,21,54,1968007.50,662045.62,128626.88,5341359.38
20111209,21,54,2024156.25,663581.25,146430.00,5489426.25
20111218,21,54,1944593.44,668663.44,186727.50,5235513.75
20111219,21,54,2009621.25,665687.81,134074.69,5467845.94
20111220,51,126,4773830.62,1613292.19,207672.19,12611902.50
20111221,21,54,2045854.69,663631.88,83415.94,5581386.56
20111222,21,54,2009131.88,663499.69,121913.44,5473943.44
20111226,81,205,7101630.00,2609353.12,530175.94,18590124.38
20111228,35,88,3289452.19,1118542.50,276339.38,8714936.25
20111230,21,54,2022806.25,664439.06,122439.38,5517050.62
20111231,21,54,2017051.88,667980.00,169079.06,5441636.25
20120101,42,108,3955767.19,1313583.75,226254.38,10766553.75
20120102,42,108,4046903.44,1315946.25,271482.19,10981023.75
20120105,42,108,4095129.38,1330824.38,295014.38,11124289.69
20120107,42,108,4052351.25,1315735.31,210076.88,11044974.38
20120108,18,47,1725170.62,548482.50,107164.69,4943081.25
20120110,21,54,2115109.69,671647.50,184387.50,5715663.75
20120219,21,54,2016551.25,658802.81,159986.25,5469249.38
20120221,63,162,6049470.94,1977437.81,323735.62,16480577.81
20120224,21,54,2047114.69,657413.44,84600.00,5590400.62
20120227,21,54,2018207.81,659309.06,94618.12,5483820.94
20120229,21,54,2041835.62,660566.25,101058.75,5553180.00
20120301,21,54,2059202.81,659143.12,83219.06,5629809.38
20120302,119,306,11046090.94,3735621.56,704129.06,30080750.62
20120305,14,34,1382009.06,446973.75,55639.69,3535245.00
20120306,21,54,2119927.50,666905.62,169028.44,5708480.62
20120309,21,54,1994535.00,661218.75,165015.00,5433311.25
20120314,54,140,4961157.19,1687404.38,428970.94,13841884.69
20120315,54,136,4968270.00,1687078.12,414275.62,13461170.62
20120317,63,162,6054615.00,1985968.12,481410.00,16486860.94
20120319,21,54,1956650.62,660990.94,195125.62,5296471.88
20120320,63,162,5979560.62,1977044.06,378939.38,16304540.62
20120321,42,108,4110240.94,1328183.44,230844.38,8493080.62
20120322,49,126,4723635.94,1531670.62,291414.38,12882296.25
20120324,21,54,1970963.44,660127.50,183203.44,5343977.81
20120328,21,54,2054458.12,661784.06,91791.56,5609055.94
20120402,42,108,4011755.62,1316714.06,239445.00,10957010.62
20120404,21,54,1960079.06,672465.94,178492.50,5277006.56
20120405,21,54,2062687.50,663359.06,184016.25,5586398.44
20120408,5,18,441154.69,133472.81,17395.31,1988701.88
20120420,21,54,2062423.12,661387.50,109299.38,5624673.75
20120421,42,108,4063190.62,1321360.31,278170.31,11057225.62
20120428,21,54,2042901.56,658279.69,113298.75,5551095.94
20120429,21,54,2000798.44,656465.62,125850.94,5437442.81
20120506,63,162,6218670.94,2005590.94,419895.00,16960938.75
20120508,21,54,2013764.06,664543.12,124512.19,5489609.06
20120518,21,54,2063013.75,663837.19,108745.31,5616641.25
